"last_name, first_name",pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
"Soriano, José",667755,23.4,26.5,,5.4,,25.2,19.5,,,
"Alcantara, Sandy",645261,20.0,23.4,13.0,9.3,22.5,4.5,,,7.4,
"Gausman, Kevin",592332,52.8,,,9.0,,,38.2,,,
"Schlittler, Cam",693645,44.9,19.1,26.6,2.2,,7.1,,,,
"Luzardo, Jesús",666200,27.1,14.8,,,23.0,,,,35.1,
"Baz, Shane",669358,33.8,6.5,18.0,,8.1,33.5,,,,
"Peralta, Freddy",642547,53.6,,,9.8,23.9,12.8,,,,
"Detmers, Reid",672282,44.5,2.3,,31.1,12.0,10.1,,,,
"Sánchez, Cristopher",650911,,43.2,,18.3,38.5,,,,,
"Roupp, Landen",694738,3.6,36.9,12.9,,18.9,27.8,,,,
"Ray, Robbie",592662,43.2,3.7,,28.3,16.8,7.9,,,,
"Ryan, Joe",657746,44.7,11.8,,6.9,,12.8,10.1,,13.7,
"Bibee, Tanner",676440,24.3,18.8,25.7,,18.9,10.1,,,2.2,
"Rodriguez, Eduardo",593958,39.7,7.4,13.4,,28.4,11.2,,,,
"Flaherty, Jack",656427,49.3,3.8,,24.8,1.9,20.1,,,,
"Elder, Bryce",693821,25.0,24.7,12.3,28.5,9.5,,,,,
"Leiter, Jack",683004,38.8,7.2,10.8,17.4,17.7,8.0,,,,
"Lugo, Seth",607625,16.9,19.9,14.7,9.7,8.4,17.0,,,10.3,3.1
"Williams, Gavin",668909,25.2,16.3,9.1,,,23.0,,,26.4,
"McLean, Nolan",690997,17.3,35.0,10.5,,7.7,11.8,,,17.7,
"Bradish, Kyle",680694,19.1,31.0,,27.7,,22.2,,,,
"Burrows, Mike",681347,28.8,13.8,,15.3,27.5,14.6,,,,
"Gilbert, Logan",669302,32.7,0.3,10.3,22.8,8.2,9.9,15.8,,,
"Cantillo, Joey",676282,41.8,,1.6,9.0,28.5,19.2,,,,
"Kirby, George",669923,32.1,19.1,3.7,,6.9,10.7,,,27.5,
"Soroka, Michael",647336,31.7,10.4,11.7,,12.6,,,,0.7,32.8
"Cavalli, Cade",676917,34.6,15.2,,,9.1,29.5,,,11.6,
"Misiorowski, Jacob",694819,62.7,,10.5,13.7,1.9,11.2,,,,
"King, Michael",650633,20.6,27.3,,5.2,27.1,,,,19.9,
"Abbott, Andrew",671096,47.3,,0.2,,17.3,13.6,,,21.7,
"Wacha, Michael",608379,28.6,14.8,14.7,9.2,23.1,9.5,,,,
"Griffin, Foster",656492,17.9,10.9,30.6,,10.8,8.9,6.1,,14.8,
"Valdez, Framber",664285,0.9,46.8,,4.9,19.3,28.1,,,,
"Imanaga, Shota",684007,41.3,7.8,,,,2.4,35.2,,13.3,
"Messick, Parker",800048,31.8,16.0,8.1,8.3,24.5,11.3,,,,
"Meyer, Max",676974,23.9,11.0,,25.6,12.1,,,,27.4,
"Nola, Aaron",605400,25.0,19.5,9.3,,12.0,34.2,,,,
"Gore, MacKenzie",669022,43.7,6.5,7.8,9.4,10.2,22.5,,,,
"Burke, Sean",680732,37.5,16.3,5.0,16.8,3.3,21.1,,,,
"Yamamoto, Yoshinobu",808967,27.3,12.1,13.7,6.7,,12.8,27.4,,,
"Sale, Chris",519242,39.2,7.9,,41.3,11.7,,,,,
"Kay, Anthony",641743,25.8,18.9,17.7,3.3,14.1,,,,20.1,
"Castillo, Luis",622491,45.7,17.0,0.1,24.7,12.5,,,,,
"Skenes, Paul",694973,36.2,14.1,,3.5,16.9,0.9,12.6,,15.8,
"Ashcraft, Braxton",677952,32.3,14.9,,23.9,,24.3,4.6,,,
"Springs, Jeffrey",605488,43.4,,2.1,25.2,22.5,,,,6.7,
"deGrom, Jacob",594798,42.4,1.2,,34.4,15.1,6.9,,,,
"Keller, Mitch",656605,33.1,16.3,6.4,9.0,10.6,7.3,,,17.3,
"Lorenzen, Michael",547179,20.1,15.4,14.0,9.1,20.1,13.8,,,7.7,
"McGreevy, Michael",700241,24.4,17.7,11.0,4.1,20.5,11.0,,,11.1,
"Vásquez, Randy",681190,31.1,13.5,23.7,5.7,8.7,11.1,,,6.4,
"Taillon, Jameson",592791,28.7,9.4,19.0,,15.1,10.7,,,17.0,
"Woo, Bryan",693433,49.0,17.7,,12.5,6.0,,,,14.7,
"Chandler, Bubba",696149,50.4,6.5,,14.3,17.8,2.4,,,8.5,
"Weathers, Ryan",677960,28.8,18.8,,9.6,23.5,,,,19.4,
"Nelson, Ryne",669194,58.1,3.9,9.9,18.8,,9.2,,,,
"Liberatore, Matthew",669461,33.1,9.3,3.9,22.3,15.0,15.8,0.6,,,
"Gallen, Zac",668678,38.2,5.1,,22.7,14.0,20.1,,,,
"Cecconi, Slade",677944,31.2,18.2,26.4,0.4,1.5,15.5,,,6.9,
"Kochanowicz, Jack",686799,22.2,38.3,,16.3,23.2,,,,,
"Eovaldi, Nathan",543135,12.1,7.9,20.8,0.9,,20.2,38.1,,,
"Martin, Davis",663436,26.4,17.0,13.0,14.6,16.6,12.4,,,,
"Hancock, Emerson",676106,37.8,22.7,12.2,,5.5,2.0,,,19.8,
"Burns, Chase",695505,56.7,,,36.6,6.6,0.1,,,,
"Severino, Luis",622663,21.2,23.8,20.7,4.2,5.4,,,,24.6,
"Early, Connelly",813349,34.9,19.6,,6.9,20.6,12.1,,,6.0,
"Cease, Dylan",656302,35.3,9.7,,29.4,11.2,9.0,,,5.4,
"Pallante, Andre",669467,30.2,19.1,,29.2,,18.1,3.4,,,
"Rea, Colin",607067,41.0,9.2,5.8,11.8,,5.2,19.0,,7.9,
"Bradley, Taj",671737,46.5,,22.5,,,10.7,20.3,,,
"Pérez, Eury",691587,47.5,6.4,,15.1,10.3,6.3,,,14.5,
"Cameron, Noah",702070,29.4,2.1,19.0,11.1,21.4,17.0,,,,
"Warren, Will",701542,41.3,26.5,,,7.7,2.7,,,21.8,
"May, Dustin",669160,25.6,17.2,23.1,,6.9,7.3,,,20.0,
"Bello, Brayan",678394,6.2,42.3,15.9,,17.5,6.1,,,12.0,
"Ober, Bailey",641927,31.5,3.4,,16.1,36.6,2.0,,,10.4,
"Rocker, Kumar",677958,10.7,34.1,10.0,38.1,7.0,,,,,
"Leahy, Kyle",681517,29.4,14.2,,15.6,12.4,15.6,,,12.7,
"Sugano, Tomoyuki",608372,20.3,19.4,10.9,11.6,,5.7,20.6,,11.6,
"Rasmussen, Drew",656876,26.9,21.3,33.6,,10.7,4.5,,,2.9,
"Sheehan, Emmet",686218,42.3,,,32.2,16.0,9.4,,,,
"Ginn, J.T.",669372,12.7,36.2,16.8,17.1,17.2,,,,,
"Houser, Adrian",605288,14.5,46.0,,11.9,18.0,9.6,,,,
"Painter, Andrew",691725,33.3,11.1,,20.3,,9.3,14.4,,11.6,
"Suarez, Ranger",624133,20.9,26.9,19.9,1.9,15.3,15.1,,,,
"Singer, Brady",663903,3.0,46.2,6.3,33.3,,,,,11.3,
"Holmes, Grant",656550,33.4,7.6,6.2,40.3,5.9,6.5,,,,
"Fedde, Erick",607200,1.5,27.6,20.5,,12.8,,,,37.6,
"Sasaki, Roki",808963,43.2,,,21.7,,,20.9,,,
"Wrobleski, Justin",680736,50.6,5.3,0.5,33.4,3.6,5.7,,,0.8,
"Mlodzinski, Carmen",669387,28.7,19.2,,4.7,,11.1,26.2,,10.1,
"Harrison, Kyle",690986,59.4,1.2,,,10.2,,,,,29.2
"Littell, Zack",641793,28.2,14.3,,28.6,,,19.3,,9.6,
"Martinez, Nick",607259,10.3,31.6,19.6,3.2,27.9,7.4,,,,
"Bassitt, Chris",605135,4.6,37.2,22.4,2.2,4.5,23.3,,,5.8,
"Lopez, Jacob",682052,33.8,5.6,19.7,30.4,10.4,,,,,
"Mahle, Tyler",641816,48.3,1.8,15.4,9.8,,,24.6,,,
"Buehler, Walker",621111,19.7,17.1,25.1,9.2,8.8,13.0,,,7.1,
"Sproat, Brandon",687075,19.8,27.0,25.8,,6.8,11.8,,,8.7,
"Rogers, Trevor",669432,42.5,13.3,10.2,,23.0,,,,11.1,
"Junk, Janson",676083,33.2,2.6,,23.5,19.9,7.3,,,13.5,
"Cabrera, Edward",665795,16.8,19.9,,11.8,32.4,19.1,,,,
"McClanahan, Shane",663556,36.7,,,21.0,28.8,13.5,,,,
"Irvin, Jake",663623,27.5,24.0,10.6,,4.4,25.6,,,7.8,
"Freeland, Kyle",607536,27.2,3.3,17.7,,15.9,22.5,,,13.4,
"Montero, Keider",672456,33.3,19.7,,17.3,15.4,14.3,,,,
"Ohtani, Shohei",660271,45.1,3.8,0.7,1.0,,10.1,9.0,,30.3,
"Peterson, David",656849,22.3,30.0,,23.9,10.8,13.0,,,,
"Kelly, Merrill",518876,25.9,9.3,15.1,13.0,26.4,10.4,,,,
"Mikolas, Miles",571945,25.6,24.7,,21.4,8.7,13.7,,,6.0,
"Civale, Aaron",650644,11.9,19.4,35.5,3.7,,22.9,6.7,,,
"Fried, Max",608331,16.8,22.1,22.4,1.0,13.7,14.2,,,9.8,
"Webb, Logan",657277,10.9,36.6,10.1,,22.6,,,,19.8,
"Pérez, Martín",527048,6.6,29.5,21.5,,32.8,9.7,,,,
"Corbin, Patrick",571578,7.8,30.2,18.2,24.9,18.3,0.5,,,,
"Paddack, Chris",663978,34.5,6.7,11.8,,27.0,10.9,,,9.1,
