"last_name, first_name",player_id,year,xba,xslg,xwoba,k_percent,bb_percent,barrel_batted_rate,hard_hit_percent,whiff_percent,groundballs_percent,flyballs_percent
"Nelson, Ryne",669194,2026,0.252,0.496,0.343,18.1,6.9,10.7,41.8,21.5,31.1,40.0
"Eovaldi, Nathan",543135,2026,0.255,0.43,0.324,23.6,5.4,8.3,40.1,31.4,51.2,24.9
"Cease, Dylan",656302,2026,0.211,0.313,0.28,35.7,10.1,5.9,37.2,36.0,47.4,18.2
"Flaherty, Jack",656427,2026,0.245,0.41,0.334,26.3,11.3,9.0,48.3,26.8,33.1,28.1
"Burke, Sean",680732,2026,0.238,0.37,0.303,23.0,7.9,6.6,36.2,21.4,36.7,28.1
"King, Michael",650633,2026,0.237,0.405,0.323,23.3,9.8,10.4,35.4,27.5,48.4,24.0
"Fried, Max",608331,2026,0.205,0.269,0.253,20.8,7.9,1.8,30.8,23.2,49.1,23.7
"Alcantara, Sandy",645261,2026,0.268,0.393,0.317,17.1,5.9,6.8,37.2,20.9,45.0,25.2
"Chandler, Bubba",696149,2026,0.226,0.392,0.324,22.2,14.3,8.0,35.4,24.2,33.7,30.9
"Hancock, Emerson",676106,2026,0.248,0.441,0.321,25.8,5.5,10.5,43.7,23.5,42.6,27.9
"Early, Connelly",813349,2026,0.248,0.452,0.337,22.7,8.3,12.4,43.5,22.4,39.8,32.8
"Rogers, Trevor",669432,2026,0.264,0.424,0.328,16.9,7.9,7.2,38.7,22.4,37.0,22.1
"Baz, Shane",669358,2026,0.263,0.431,0.333,19.9,9.1,9.1,41.2,20.6,37.3,24.9
"Sale, Chris",519242,2026,0.228,0.347,0.289,29.3,6.5,6.6,30.2,29.8,44.5,24.2
"Irvin, Jake",663623,2026,0.248,0.457,0.349,25.4,9.6,12.0,45.8,25.7,40.1,30.3
"Pérez, Martín",527048,2026,0.244,0.389,0.317,20.9,8.9,7.7,39.7,22.3,45.5,25.0
"Ray, Robbie",592662,2026,0.238,0.468,0.35,21.7,12.4,11.6,36.6,25.8,33.0,37.2
"Wheeler, Zack",554430,2026,0.22,0.367,0.284,25.4,6.3,7.9,37.5,26.2,43.0,25.8
"Williams, Gavin",668909,2026,0.242,0.438,0.323,29.0,7.7,12.7,48.2,30.9,45.8,23.2
"Ohtani, Shohei",660271,2026,0.186,0.268,0.245,28.8,7.7,3.5,37.5,31.3,52.8,20.8
"Gallen, Zac",668678,2026,0.298,0.486,0.361,15.0,7.0,10.0,44.8,18.7,48.9,26.7
"Meyer, Max",676974,2026,0.227,0.373,0.302,26.9,9.0,8.6,43.9,30.1,43.4,27.5
"Ureña, Walbert",700712,2026,0.204,0.315,0.288,22.0,12.8,6.4,33.6,28.6,52.1,22.1
"Littell, Zack",641793,2026,0.281,0.518,0.373,14.0,7.2,10.6,45.2,16.2,35.9,36.9
"Rea, Colin",607067,2026,0.277,0.489,0.359,18.7,7.9,12.4,45.3,21.9,46.8,26.4
"Warren, Will",701542,2026,0.23,0.365,0.29,25.8,7.0,6.6,39.8,24.1,41.4,29.3
"Ober, Bailey",641927,2026,0.245,0.446,0.323,16.4,6.4,9.8,32.7,19.6,34.1,31.3
"Kochanowicz, Jack",686799,2026,0.272,0.439,0.359,15.9,12.2,7.4,42.8,23.6,57.2,19.7
"Freeland, Kyle",607536,2026,0.313,0.517,0.385,17.9,6.3,9.7,44.1,22.5,37.6,30.1
"Sasaki, Roki",808963,2026,0.24,0.413,0.322,24.3,8.5,10.5,45.1,29.4,45.1,26.5
"Ryan, Joe",657746,2026,0.21,0.362,0.278,27.3,5.2,10.8,42.9,25.0,36.9,31.0
"Sugano, Tomoyuki",608372,2026,0.317,0.588,0.414,13.6,6.8,16.3,46.4,16.1,38.8,31.6
"Kelly, Merrill",518876,2026,0.311,0.599,0.414,14.3,9.7,16.5,44.8,23.5,36.6,29.9
"Arrighetti, Spencer",681293,2026,0.243,0.387,0.347,21.2,12.4,5.9,29.6,25.4,38.5,30.4
"Ginn, J.T.",669372,2026,0.228,0.364,0.306,22.9,10.3,6.4,36.3,27.0,48.0,24.0
"Pérez, Eury",691587,2026,0.232,0.46,0.346,27.2,10.6,15.0,42.5,29.1,33.8,30.0
"Bibee, Tanner",676440,2026,0.259,0.448,0.333,19.9,7.6,9.6,45.4,26.5,38.4,27.5
"Rodriguez, Eduardo",593958,2026,0.265,0.443,0.336,17.8,8.4,8.0,35.9,19.2,41.8,26.2
"Castillo, Luis",622491,2026,0.265,0.448,0.344,22.5,8.5,11.0,47.3,25.4,38.5,28.0
"Cantillo, Joey",676282,2026,0.24,0.412,0.331,21.6,12.4,9.4,37.7,26.8,42.4,33.0
"Bello, Brayan",678394,2026,0.307,0.513,0.377,15.6,8.5,9.9,44.1,24.5,50.7,23.5
"Ashcraft, Braxton",677952,2026,0.218,0.332,0.273,26.7,5.3,5.7,38.5,27.8,46.9,25.8
"Soroka, Michael",647336,2026,0.252,0.404,0.311,23.5,5.6,8.0,33.3,22.1,39.0,27.2
"Fedde, Erick",607200,2026,0.252,0.432,0.332,14.2,9.4,8.4,39.8,15.9,36.6,30.9
"Cavalli, Cade",676917,2026,0.254,0.394,0.327,24.3,8.0,7.9,39.1,24.4,46.5,24.3
"Yamamoto, Yoshinobu",808967,2026,0.239,0.379,0.291,24.7,5.1,7.3,37.1,29.5,47.3,24.4
"Suarez, Ranger",624133,2026,0.249,0.367,0.3,24.0,7.2,6.7,33.0,23.8,37.4,22.9
"Corbin, Patrick",571578,2026,0.288,0.466,0.356,15.8,6.8,7.9,44.1,19.2,41.2,23.2
"Buehler, Walker",621111,2026,0.275,0.425,0.337,20.1,8.2,8.1,40.7,19.7,45.9,20.3
"Vásquez, Randy",681190,2026,0.301,0.549,0.389,18.2,6.9,13.5,47.0,21.9,35.3,30.2
"Holmes, Grant",656550,2026,0.246,0.437,0.333,21.2,10.0,10.4,46.2,28.3,42.4,26.6
"Luzardo, Jesús",666200,2026,0.235,0.36,0.295,25.6,6.7,6.8,29.6,30.7,50.0,20.9
"Griffin, Foster",656492,2026,0.244,0.442,0.328,23.2,7.1,12.4,38.3,24.5,43.8,29.9
"Lugo, Seth",607625,2026,0.28,0.487,0.355,19.9,7.5,11.2,41.4,18.1,37.5,31.0
"Rocker, Kumar",677958,2026,0.261,0.421,0.335,18.7,9.9,8.2,42.2,22.5,48.1,22.2
"Messick, Parker",800048,2026,0.234,0.362,0.291,26.4,7.5,6.2,34.5,27.9,41.8,24.7
"Keller, Mitch",656605,2026,0.278,0.418,0.333,18.0,7.5,6.8,39.0,20.9,39.9,21.1
"Gausman, Kevin",592332,2026,0.241,0.396,0.294,24.3,4.3,8.3,37.7,27.0,40.7,24.2
"Mahle, Tyler",641816,2026,0.245,0.403,0.316,22.9,9.6,8.4,35.7,19.9,44.6,29.2
"Detmers, Reid",672282,2026,0.207,0.323,0.272,28.5,7.8,6.8,36.5,29.7,37.0,29.7
"Singer, Brady",663903,2026,0.291,0.537,0.383,16.3,7.4,12.9,43.3,22.6,41.2,27.3
"Martinez, Nick",607259,2026,0.283,0.451,0.333,14.4,4.5,6.8,32.5,18.1,38.9,27.8
"Cameron, Noah",702070,2026,0.254,0.424,0.313,22.9,6.2,9.3,41.0,24.3,39.0,25.6
"Lambert, Peter",663567,2026,0.228,0.359,0.314,22.0,11.7,5.8,41.3,26.3,42.8,29.7
"Schlittler, Cam",693645,2026,0.219,0.345,0.263,28.1,4.4,7.0,41.3,27.5,44.6,27.2
"Kay, Anthony",641743,2026,0.282,0.465,0.372,16.5,9.3,10.3,41.6,20.2,44.2,22.3
"Houser, Adrian",605288,2026,0.281,0.473,0.36,14.4,8.6,9.0,44.1,18.3,45.0,22.3
"Bubic, Kris",663460,2026,0.24,0.395,0.328,24.6,12.6,7.8,39.5,26.1,45.7,27.9
"Martin, Davis",663436,2026,0.256,0.378,0.302,25.3,5.9,6.3,45.1,27.8,45.6,19.0
"Pallante, Andre",669467,2026,0.236,0.385,0.309,18.6,8.4,6.7,35.7,23.0,51.5,22.4
"Bradley, Taj",671737,2026,0.24,0.396,0.319,26.8,10.0,9.2,44.8,28.0,35.0,27.6
"Painter, Andrew",691725,2026,0.27,0.457,0.342,18.0,7.3,8.9,34.9,22.0,38.5,29.2
"Mikolas, Miles",571945,2026,0.278,0.516,0.358,14.7,6.5,11.6,42.0,16.8,46.6,28.0
"Wrobleski, Justin",680736,2026,0.258,0.411,0.31,16.1,5.1,7.0,42.5,17.2,37.9,31.8
"Sánchez, Cristopher",650911,2026,0.22,0.349,0.267,29.5,4.9,8.3,44.3,33.4,58.3,17.1
"May, Dustin",669160,2026,0.245,0.375,0.306,21.5,6.8,6.7,49.0,21.3,44.8,21.1
"Montero, Keider",672456,2026,0.235,0.416,0.307,16.7,6.1,9.5,41.1,16.7,35.6,29.2
"Burns, Chase",695505,2026,0.2,0.349,0.27,29.7,7.7,9.2,39.4,34.4,41.8,29.4
"McGreevy, Michael",700241,2026,0.286,0.506,0.359,17.2,6.0,10.1,40.6,19.9,45.7,26.0
"Valdez, Framber",664285,2026,0.257,0.41,0.328,18.6,8.5,6.7,42.7,21.6,49.3,25.3
"Peralta, Freddy",642547,2026,0.237,0.37,0.307,23.9,9.7,5.9,40.9,28.1,43.3,25.6
"Leahy, Kyle",681517,2026,0.306,0.524,0.39,17.5,8.9,10.9,49.2,22.1,44.6,23.3
"Cabrera, Edward",665795,2026,0.262,0.442,0.336,21.5,8.5,12.9,40.9,27.6,45.6,24.0
"Lorenzen, Michael",547179,2026,0.315,0.502,0.379,15.9,7.3,9.7,46.5,20.2,45.2,22.8
"Junk, Janson",676083,2026,0.256,0.411,0.31,16.9,5.1,6.6,41.6,18.0,45.2,23.9
"Abbott, Andrew",671096,2026,0.272,0.438,0.345,15.8,10.4,7.6,38.4,21.2,41.6,25.1
"Nola, Aaron",605400,2026,0.26,0.436,0.326,23.7,7.7,9.1,39.6,25.9,41.6,25.4
"Woo, Bryan",693433,2026,0.226,0.359,0.272,24.5,4.6,6.5,44.2,24.5,36.7,31.6
"McClanahan, Shane",663556,2026,0.23,0.375,0.301,23.9,8.5,9.1,39.0,27.2,47.6,28.7
"Liberatore, Matthew",669461,2026,0.283,0.467,0.354,21.1,9.0,9.4,44.1,22.4,40.1,29.7
"Skenes, Paul",694973,2026,0.193,0.298,0.241,29.5,4.7,3.9,33.1,26.0,44.9,20.2
"Bradish, Kyle",680694,2026,0.233,0.393,0.319,22.5,11.9,10.3,36.5,25.5,51.8,21.3
"Bassitt, Chris",605135,2026,0.284,0.407,0.344,14.2,8.4,4.1,34.5,21.2,47.4,22.2
"Burrows, Mike",681347,2026,0.263,0.44,0.338,18.4,8.6,9.4,38.3,23.4,37.4,28.5
"Mlodzinski, Carmen",669387,2026,0.284,0.42,0.338,19.4,7.9,7.2,50.3,21.0,44.2,19.9
"Imanaga, Shota",684007,2026,0.232,0.427,0.31,24.0,6.2,11.3,41.5,30.3,39.2,33.5
